type,entry_date,entry_price,exit_date,exit_price,pnl
long,2022-02-20 02:00:00,39869.29,2022-02-17 07:00:00,43962.04,3254.4367
long,2022-01-21 17:00:00,38367.96,2022-01-20 20:00:00,42737.7,3558.683399999998
long,2022-01-07 01:00:00,43004.69,2022-01-04 14:00:00,47344.14,3435.9616999999967
long,2021-12-16 15:00:00,48582.39,2021-12-03 23:00:00,53743.69,4138.039200000003
long,2021-11-26 07:00:00,56997.67,2021-11-15 23:00:00,63606.09,5402.382399999999
long,2021-11-03 01:00:00,63191.64,2021-10-13 15:00:00,56163.1,5834.9926000000005
long,2021-09-20 09:00:00,44817.2,2021-09-07 13:00:00,50622.05,4850.457500000006
long,2021-08-29 16:00:00,48706.06,2021-08-09 08:00:00,43772.38,4008.8956000000007
long,2021-08-01 06:00:00,41751.65,2021-07-27 09:00:00,37411.37,3548.649799999999
long,2021-07-14 23:00:00,32823.55,2021-06-29 21:00:00,36249.51,2735.229399999999
long,2021-06-25 02:00:00,35161.32,2021-06-22 14:00:00,30571.0,3932.9968
long,2021-06-21 02:00:00,35121.13,2021-06-17 15:00:00,39027.17,3164.5570000000007
long,2021-06-10 10:00:00,37861.11,2021-06-09 09:00:00,34035.3,3106.8458999999975
long,2021-06-07 01:00:00,36671.94,2021-05-26 07:00:00,40544.53,3100.4252999999967
long,2021-05-22 16:00:00,38255.4,2021-05-19 12:00:00,33885.78,3648.2082000000028
long,2021-05-04 09:00:00,56098.06,2021-04-25 23:00:00,49128.43,5917.365099999997
long,2021-04-22 12:00:00,55031.45,2021-04-17 22:00:00,60722.1,4533.1145000000015
long,2021-04-10 10:00:00,60646.74,2021-03-27 12:00:00,54300.0,5197.272599999998
long,2021-03-22 15:00:00,57066.1,2021-03-08 19:00:00,51351.43,4630.494699999998
long,2021-02-25 15:00:00,50849.47,2021-02-23 19:00:00,45503.1,4382.8443000000025
long,2021-02-23 04:00:00,50746.29,2021-02-22 07:00:00,56479.27,4660.7243999999955
long,2021-01-21 03:00:00,34598.01,2021-01-15 11:00:00,38086.63,2761.773599999995
long,2021-01-10 22:00:00,38453.04,2021-01-06 14:00:00,34344.66,3380.402999999997
long,2020-12-06 23:00:00,19380.58,2020-11-28 14:00:00,17346.79,1666.5163000000007
long,2020-11-25 19:00:00,18985.1,2020-11-17 13:00:00,16964.25,1661.3564999999985
long,2020-10-01 04:00:00,10806.22,2020-09-02 01:00:00,11887.67,854.5111000000007
long,2020-08-25 15:00:00,11422.11,2020-07-27 11:00:00,10265.58,939.6531000000007
long,2020-07-09 11:00:00,9403.35,2020-05-10 16:00:00,8279.42,947.1023000000002
long,2020-05-09 18:00:00,9747.62,2020-05-04 12:00:00,8732.44,830.3794000000003
long,2020-04-10 03:00:00,7180.75,2020-04-01 21:00:00,6365.7,679.5855000000001
long,2020-03-27 14:00:00,6622.19,2020-03-23 11:00:00,5859.72,637.6508999999993
long,2020-03-20 11:00:00,6685.05,2020-03-19 15:00:00,5921.13,637.8582
long,2020-03-12 16:00:00,6081.85,2020-03-12 09:00:00,7342.49,1126.3965999999994
long,2020-02-09 19:00:00,10069.8,2020-01-28 21:00:00,9036.6,842.135999999999
long,2020-01-19 10:00:00,9025.11,2020-01-13 23:00:00,8105.01,748.7988000000004
long,2020-01-08 04:00:00,8343.23,2020-01-06 07:00:00,7505.84,678.8992999999995
long,2019-12-24 10:00:00,7393.66,2019-12-18 12:00:00,6545.0,709.2733999999998
long,2019-12-15 20:00:00,7130.97,2019-11-21 13:00:00,7865.79,584.8523999999996
long,2019-10-30 22:00:00,9231.39,2019-10-25 15:00:00,8295.73,760.3887999999998
long,2019-10-15 17:00:00,8164.38,2019-09-24 17:00:00,9458.29,1117.6833000000006
long,2019-09-10 13:00:00,10235.29,2019-08-13 09:00:00,11286.51,836.0019999999994
long,2019-07-25 09:00:00,10120.7,2019-07-14 07:00:00,11139.92,806.6137999999994
long,2019-07-04 15:00:00,11770.4,2019-07-02 16:00:00,10499.69,1048.009099999999
long,2019-06-30 10:00:00,11487.06,2019-06-27 05:00:00,12802.78,1072.8216000000011
long,2019-06-03 21:00:00,8495.0,2019-05-23 12:00:00,7629.22,704.5377999999997
long,2019-05-16 08:00:00,7983.33,2019-05-13 10:00:00,7098.81,733.6985999999995
long,2019-04-25 11:00:00,5466.11,2019-04-05 03:00:00,4890.92,471.61969999999957
long,2019-03-09 16:00:00,3908.13,2019-02-08 15:00:00,3452.18,382.3469000000003
long,2019-01-28 02:00:00,3497.75,2019-01-10 05:00:00,4027.22,454.2202999999998
long,2019-01-03 03:00:00,3872.22,2018-12-18 12:00:00,3474.32,324.43459999999965
long,2018-12-10 12:00:00,3472.0,2018-12-05 15:00:00,3829.08,284.0691999999999
long,2018-11-25 21:00:00,4047.53,2018-11-25 09:00:00,3608.2,362.7727000000004
long,2018-11-24 16:00:00,4197.67,2018-11-20 16:00:00,4664.66,378.3666999999998
long,2018-10-29 08:00:00,6391.19,2018-09-05 09:00:00,7101.81,575.6900000000009
long,2018-08-30 01:00:00,7039.21,2018-08-22 20:00:00,6326.38,579.1741
long,2018-08-10 08:00:00,6400.94,2018-08-07 18:00:00,7094.6,558.7046000000007
long,2018-07-09 22:00:00,6702.37,2018-06-29 21:00:00,5920.74,655.3989000000001
long,2018-06-22 10:00:00,6374.76,2018-06-10 16:00:00,7211.45,700.8278999999995
long,2018-06-01 10:00:00,7545.99,2018-05-22 07:00:00,8320.16,615.5085
